"gene_symbol","GSE5099_logFC","GSE5099_moderated_t","GSE11864_logFC","GSE11864_moderated_t","action","reason"
"LRRC73",-0.0456177599999988,-0.49842117487529,1.08553175117728,1.52362562242187,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LRRC8A",0.00111394600000149,0.00931369706945422,-0.937839591949129,-4.34829899306526,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LRRC8B",0.162074660833334,1.92414458600791,-0.270487111746374,-0.495475051857358,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LRRC8D",0.687362224333333,4.9086025915336,-0.11655546140485,-0.924037522257713,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LRRFIP1",0.213032321541669,1.56100941300627,-1.31810997288673,-11.0838486999457,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LRRIQ1",-0.116538116333333,-1.25591189102131,0.0952573229286797,0.100891399116339,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LRRN1",0.0407505786666674,0.703945862879296,-0.725426141978854,-0.761820372780406,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LRRTM1",0.106395041666667,1.12058822526938,-0.559242864768309,-0.951810539901824,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LRRTM4",0.079984951666667,1.21200382167013,-0.990868704839044,-0.838551500120968,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LSAMP",0.0328902242083347,0.350764714398601,-0.00373612548171798,-0.00421465674816381,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LSG1",-0.189275704166666,-1.52175028191792,0.00182828708149252,0.0104002339192088,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LSM1",-0.302325134333333,-2.20699119262803,0.376796400952561,3.49586035374873,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LSM14B",0.0274925562777777,0.251227113542016,-0.363253192221393,-0.896060529481871,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LSMEM2",-0.302143402999999,-3.07715556824546,1.75979665671343,1.86095650430295,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LSP1",-0.569896813333333,-3.45511585263272,0.0861968388508174,0.330843178600246,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LTA",-0.174834283333332,-1.05322169942679,0.278910844776402,0.325912830318207,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LTB4R",0.267784118750002,2.15541420830293,-4.76741380074361,-13.0832515800123,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LTBP1",0.179026115833334,1.48596793026418,-0.0532561979859082,-0.0714504294838549,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LTBP2",-0.257516981166666,-1.61890845795567,3.87486204457653,16.8474776037193,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LTBP3",0.143879208166667,1.3051303406009,-0.394233574151569,-0.905907456550808,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LUC7L2",-0.170379054499999,-1.38252425758858,0.449535362161535,3.53911728629377,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LUM",0.00263345283333334,0.0429969389278716,-0.898542724240551,-0.897427854924497,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LUNAR1",0.0975554916666667,1.07398760047567,-1.71281353726651,-1.87894771011412,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LURAP1",-0.0845937203333319,-0.819115059868706,0.45547548949967,0.952153115241575,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LURAP1L-AS1",0.0519425873333338,0.804410722899461,-2.13359676665541,-1.94440880859676,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LUZP1",0.0113485646666677,0.0770393817951374,-0.510579131061988,-2.23080384572853,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LUZP2",0.00560254533333403,0.0566593936617203,-0.203831929997073,-0.234285880282008,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LY6E",0.403471353333334,2.71141146454239,-0.154116618006142,-1.11184298865467,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LY6G6C",-0.0137104859999979,-0.101684522189094,0.0977911483435823,0.227231589669899,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LY6K",-0.240017057,-2.40576945996378,1.32241447257528,1.89068290150429,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LYAR",-0.338907160999999,-2.74462222243708,0.137910236578164,0.868506307073864,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LYG1",-0.356563954666665,-2.94872991485293,1.45168447990898,2.38925838639794,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
"LYNX1",0.0830406524999995,0.896122576863623,-0.417068653526674,-0.766962710193825,"excluded_before_consensus_ranking","opposite_differential_direction_between_sources"
