gene_set,source,gene
MPI M2-like signature,"Totu et al., 2025, NAR Molecular Medicine, Supplementary Table S6 (Proteomics)",SGPL1
MPI M2-like signature,"Totu et al., 2025, NAR Molecular Medicine, Supplementary Table S6 (Proteomics)",SLC9A9
MPI M2-like signature,"Totu et al., 2025, NAR Molecular Medicine, Supplementary Table S6 (Proteomics)",SLCO2B1
MPI M2-like signature,"Murray et al., 2014, Immunity (Core set compiled in Totu et al., 2025, Supplementary Table S6)",SOCS1
MPI M2-like signature,"Murray et al., 2014, Immunity (Core set compiled in Totu et al., 2025, Supplementary Table S6)",SOCS3
MPI M2-like signature,"Totu et al., 2025, NAR Molecular Medicine, Supplementary Table S6 (Proteomics); Murray et al., 2014, Immunity (Core set compiled in Totu et al., 2025, Supplementary Table S6)",STAB1
MPI M2-like signature,"Totu et al., 2025, NAR Molecular Medicine, Supplementary Table S6 (Proteomics)",SYPL1
MPI M2-like signature,"Totu et al., 2025, NAR Molecular Medicine, Supplementary Table S6 (Proteomics)",TANGO2
MPI M2-like signature,"Murray et al., 2014, Immunity (Core set compiled in Totu et al., 2025, Supplementary Table S6)",TG
MPI M2-like signature,"Murray et al., 2014, Immunity (Core set compiled in Totu et al., 2025, Supplementary Table S6); Azizi et al., 2018, Cell, Supplementary Table S4 (compiled in Totu et al., 2025, Supplementary Table S6)",TGFB1
MPI M2-like signature,"Azizi et al., 2018, Cell, Supplementary Table S4 (compiled in Totu et al., 2025, Supplementary Table S6)",TGFB2
MPI M2-like signature,"Azizi et al., 2018, Cell, Supplementary Table S4 (compiled in Totu et al., 2025, Supplementary Table S6)",TGFB3
MPI M2-like signature,"Murray et al., 2014, Immunity (Core set compiled in Totu et al., 2025, Supplementary Table S6)",TGFBR2
MPI M2-like signature,"Murray et al., 2014, Immunity (Core set compiled in Totu et al., 2025, Supplementary Table S6)",TGM2
MPI M2-like signature,"Totu et al., 2025, NAR Molecular Medicine, Supplementary Table S6 (Proteomics)",TMEM176B
MPI M2-like signature,"Azizi et al., 2018, Cell, Supplementary Table S4 (compiled in Totu et al., 2025, Supplementary Table S6)",TNFSF12
MPI M2-like signature,"Azizi et al., 2018, Cell, Supplementary Table S4 (compiled in Totu et al., 2025, Supplementary Table S6)",TNFSF8
MPI M2-like signature,"Totu et al., 2025, NAR Molecular Medicine, Supplementary Table S6 (Proteomics)",TRIM47
MPI M2-like signature,"Azizi et al., 2018, Cell, Supplementary Table S4 (compiled in Totu et al., 2025, Supplementary Table S6)",VEGFA
MPI M2-like signature,"Azizi et al., 2018, Cell, Supplementary Table S4 (compiled in Totu et al., 2025, Supplementary Table S6)",VEGFB
MPI M2-like signature,"Azizi et al., 2018, Cell, Supplementary Table S4 (compiled in Totu et al., 2025, Supplementary Table S6)",VEGFC
MPI M2-like signature,"Azizi et al., 2018, Cell, Supplementary Table S4 (compiled in Totu et al., 2025, Supplementary Table S6)",VEGFD
MPI M2-like signature,"Totu et al., 2025, NAR Molecular Medicine, Supplementary Table S6 (Proteomics)",VPS50
MPI M2-like signature,"Azizi et al., 2018, Cell, Supplementary Table S4 (compiled in Totu et al., 2025, Supplementary Table S6)",VTCN1
MPI M2-like signature,"Totu et al., 2025, NAR Molecular Medicine, Supplementary Table S6 (Proteomics)",WDR64
MPI M2-like signature,"Totu et al., 2025, NAR Molecular Medicine, Supplementary Table S6 (Proteomics)",WDR81
MPI M2-like signature,"Azizi et al., 2018, Cell, Supplementary Table S4 (compiled in Totu et al., 2025, Supplementary Table S6)",WNT7B
