"top_n_final_per_direction","direction","consensus_rank","gene_symbol","consensus_mean_percentile","consensus_worst_source_percentile","GSE5099_rank_in_direction","GSE11864_rank_in_direction","GSE5099_percentile_in_direction","GSE11864_percentile_in_direction","selected_in_GSE5099_individual_top200","selected_in_GSE11864_individual_top200","GSE5099_logFC","GSE11864_logFC","GSE5099_moderated_t","GSE11864_moderated_t"
200,"mature_positive",1,"MRC1",0.000937727800468088,0.000965095705324111,15,18,0.000910359895612065,0.000965095705324111,TRUE,TRUE,4.81310246766667,5.74999272014684,24.7727382709476,29.5039018310009
200,"mature_positive",2,"HS3ST2",0.00140556749904308,0.00157795715239425,26,23,0.00157795715239425,0.00123317784569192,TRUE,TRUE,3.73128864233333,5.88597747529457,22.368977709151,27.7757245642892
200,"mature_positive",3,"ACP5",0.00179800838382355,0.00279177034654367,46,15,0.00279177034654367,0.000804246421103426,TRUE,TRUE,2.740595927,4.82294002545412,19.1108678388625,30.5180605198787
200,"mature_positive",4,"PLD3",0.00234888081864622,0.00257358854753096,35,48,0.00212417308976149,0.00257358854753096,TRUE,TRUE,2.57619715,2.40207203051743,20.8161233970436,23.5850022821231
200,"mature_positive",5,"SIGLEC1",0.00235241793446318,0.0025199721194574,36,47,0.00218486374946896,0.0025199721194574,TRUE,TRUE,2.75063536,4.040334108849,20.7549990094133,23.5957645768234
200,"mature_positive",6,"CD163L1",0.0025067526778692,0.00386038282129645,19,72,0.00115312253444195,0.00386038282129645,TRUE,TRUE,3.40031322766667,3.92188737323781,23.9888004822982,20.2270776400223
200,"mature_positive",7,"C1QC",0.00271116673353182,0.00536164280735617,1,100,6.0690659707471e-05,0.00536164280735617,TRUE,TRUE,5.93266317833333,5.16976529565217,41.7869164660955,17.9475114961556
200,"mature_positive",8,"ATG4C",0.00285004327207267,0.00382351156157067,63,35,0.00382351156157067,0.00187657498257466,TRUE,TRUE,1.88216093866667,5.77660500736281,17.5240668503176,24.999569294186
200,"mature_positive",9,"GPNMB",0.00287926922028792,0.00570492201250228,94,1,0.00570492201250228,5.36164280735617e-05,TRUE,TRUE,2.76930832333334,8.19108043562411,15.336009097094,64.210611961266
200,"mature_positive",10,"SLC18B1",0.00288262736520337,0.00552249209157686,4,103,0.000242762638829884,0.00552249209157686,TRUE,TRUE,4.68463240433333,1.80590950469865,35.9066931267075,17.6126137474973
