gene_set,source,gene
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,FCGRT
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,CD99
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,ATP8B4
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,TIMP2
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,MAF
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,ACOT13
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,NPL
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,GLMP
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,CNRIP1
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,CTSL
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,BRI3BP
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,TSPAN4
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,IDH1
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,SCD
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,SLC17A5
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,LAMP1
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,TLR5
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,RNASE1
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,RNF13
MMI macrophage-maturation signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant macrophage-associated consensus Top 200,LACTB2
