gene_set,source,gene
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,NFKBIZ
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,FGR
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,MCEMP1
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,JUNB
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,DUSP6
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,IL1B
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,PRAM1
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,NAPSB
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,GLT1D1
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,MAP3K7CL
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,PLP2
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,BTG1
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,CSRNP1
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,SCO2
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,S100A10
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,PLK2
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,CORO1A
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,QPCT
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,LILRA1
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,ADGRE5
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,ZFP36
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,FOS
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,DUSP5
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,TXNIP
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,VEGFA
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,DUSP1
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,FCAR
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,MARCKSL1
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,PPP1R15A
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,S100A8
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,MTMR11
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,PPA1
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,ARRDC4
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,ICAM2
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,FPR1
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,LST1
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,EZR
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,S100P
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,AMPD2
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,PTGS2
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,ITGAL
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,FCN1
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,RGS2
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,SOCS3
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,DDX21
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,TNFAIP3
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,ALOX5
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,NR4A2
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,SLC2A3
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,TLE4
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,NFIL3
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,CDKN1A
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,SLC22A4
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,CD69
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,FPR2
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,PTX3
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,STARD4
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,ATF3
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,GLIPR2
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,UPP1
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,ITGB2-AS1
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,ALOX5AP
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,SRD5A1
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,ZBTB18
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,EGR3
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,RASSF5
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,IER5
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,SERPINB9
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,FAM117A
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,RPL36A
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,TRMT6
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,RPL22L1
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,TYMP
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,FMNL1
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,PDE4B
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,IER3
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,IRAK3
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,LMNB1
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,R3HDM4
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,FOSL2
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,ATF4
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,USP3
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,TOB1
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,PADI4
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,ARL4A
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,EHD1
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,MAFF
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,AQP9
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,CD55
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,RPL10A
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,CD83
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,FRY
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,RPL8
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,SLC2A6
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,CYFIP2
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,IL15
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,MGST1
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,CDC42
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,PPIF
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,SLC46A2
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,TNF
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,ASGR2
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,EGR2
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,KCNN4
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,TMCC3
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,CXCL8
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,RAC2
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,COTL1
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,ELF4
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,RIT1
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,ANXA1
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,CCNL1
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,MYH9
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,YRDC
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,CD300C
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,FBL
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,KLF4
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,MCL1
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,UBXN2B
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,GBP5
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,PSTPIP2
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,RGS1
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,KBTBD11
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,NKG7
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,PIM3
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,SMAD3
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,IER2
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,CLEC4E
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,SUN2
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,MEGF9
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,EFHD2
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,HNRNPA1
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,BCL2A1
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,GABARAPL1
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,FBXW7
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,SLC25A37
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,OR52K3P
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,NOD2
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,RNF144B
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,LPCAT2
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,BZW2
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,STX11
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,FGL2
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,CCDC88B
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,DAZAP1
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,CASP1
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,TUBA4A
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,FAM118A
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,CD1C
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,CLEC12B
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,PPM1F
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,REV3L
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,GCH1
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,MXD1
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,TRA2B
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,CREB5
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,JUND
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,RNF19B
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,LINC00877
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,IRF1
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,SERPINA1
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,REL
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,PRELID1
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,SOX4
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,MYD88
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,TSC22D3
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,LDHA
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,IL17RA
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,HNRNPH1
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,RSRC2
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,SH2B2
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,SKIL
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,FLNA
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,ASPHD2
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,PLAUR
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,IFITM1
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,LILRA2
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,PGK1
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,FUT4
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,ORM1
MMI monocyte-associated signature,Re-analysis source: GEO GSE5099 and GSE11864; concordant monocyte-associated consensus Top 200,NXF1
