"source_set","direction","gene_symbol"
"GSE5099_Macrophage","mature_positive","PEX5"
"GSE5099_Macrophage","mature_positive","PGF"
"GSE5099_Macrophage","mature_positive","PKDREJ"
"GSE5099_Macrophage","mature_positive","PKN1"
"GSE5099_Macrophage","mature_positive","PKP4"
"GSE5099_Macrophage","mature_positive","PLEC"
"GSE5099_Macrophage","mature_positive","PLEKHH1"
"GSE5099_Macrophage","mature_positive","PLIN4"
"GSE5099_Macrophage","mature_positive","PML"
"GSE5099_Macrophage","mature_positive","POLR2A"
"GSE5099_Macrophage","mature_positive","POP1"
"GSE5099_Macrophage","mature_positive","PPFIA4"
"GSE5099_Macrophage","mature_positive","PPM1L"
"GSE5099_Macrophage","mature_positive","PRDX4"
"GSE5099_Macrophage","mature_positive","PRELID2"
"GSE5099_Macrophage","mature_positive","PREX2"
"GSE5099_Macrophage","mature_positive","PRPSAP1"
"GSE5099_Macrophage","mature_positive","RANBP6"
"GSE5099_Macrophage","mature_positive","RBM38"
"GSE5099_Macrophage","mature_positive","RCL1"
"GSE5099_Macrophage","mature_positive","RDH16"
"GSE5099_Macrophage","mature_positive","RHBDF2"
"GSE5099_Macrophage","mature_positive","RNF112"
"GSE5099_Macrophage","mature_positive","RTKN2"
"GSE5099_Macrophage","mature_positive","S100B"
"GSE5099_Macrophage","mature_positive","SARM1"
"GSE5099_Macrophage","mature_positive","SH3BGRL3"
"GSE5099_Macrophage","mature_positive","SLC18A1"
"GSE5099_Macrophage","mature_positive","SLC35E4"
"GSE5099_Macrophage","mature_positive","SLN"
"GSE5099_Macrophage","mature_positive","SLPI"
"GSE5099_Macrophage","mature_positive","SLX4"
"GSE5099_Macrophage","mature_positive","SMAD4"
"GSE5099_Macrophage","mature_positive","SMARCD2"
"GSE5099_Macrophage","mature_positive","SMPD2"
"GSE5099_Macrophage","mature_positive","SMPD4"
"GSE5099_Macrophage","mature_positive","SNX32"
"GSE5099_Macrophage","mature_positive","SOCS7"
"GSE5099_Macrophage","mature_positive","SREBF1"
"GSE5099_Macrophage","mature_positive","SRF"
"GSE5099_Macrophage","mature_positive","TAX1BP3"
"GSE5099_Macrophage","mature_positive","TBC1D4"
"GSE5099_Macrophage","mature_positive","TBCEL"
"GSE5099_Macrophage","mature_positive","TFF2"
"GSE5099_Macrophage","mature_positive","TFIP11"
"GSE5099_Macrophage","mature_positive","TIMM17B"
"GSE5099_Macrophage","mature_positive","TMEM121"
"GSE5099_Macrophage","mature_positive","TMEM176B"
"GSE5099_Macrophage","mature_positive","TMEM191C"
"GSE5099_Macrophage","mature_positive","TNIP2"
"GSE5099_Macrophage","mature_positive","TNS3"
"GSE5099_Macrophage","mature_positive","TPRG1L"
"GSE5099_Macrophage","mature_positive","TRIM41"
"GSE5099_Macrophage","mature_positive","TRPC3"
"GSE5099_Macrophage","mature_positive","TRRAP"
"GSE5099_Macrophage","mature_positive","TSPAN14"
"GSE5099_Macrophage","mature_positive","TTI1"
"GSE5099_Macrophage","mature_positive","TUSC1"
"GSE5099_Macrophage","mature_positive","USP14"
"GSE5099_Macrophage","mature_positive","USP30"
"GSE5099_Macrophage","mature_positive","USP36"
"GSE5099_Macrophage","mature_positive","WDR81"
"GSE5099_Macrophage","mature_positive","ZBTB4"
"GSE5099_Macrophage","mature_positive","ZC3H12A"
"GSE5099_Macrophage","mature_positive","ZCCHC12"
"GSE5099_Macrophage","mature_positive","ZFAND3"
"GSE5099_Macrophage","mature_positive","ZMYM3"
"GSE5099_Macrophage","mature_positive","ZNF710"
"GSE5099_Macrophage","mature_positive","ZNF711"
"GSE5099_Monocyte","immature_negative","ABHD17B"
"GSE5099_Monocyte","immature_negative","ADGRF5"
"GSE5099_Monocyte","immature_negative","AGO2"
"GSE5099_Monocyte","immature_negative","AKAP9"
"GSE5099_Monocyte","immature_negative","AKIRIN1"
"GSE5099_Monocyte","immature_negative","ALDH18A1"
"GSE5099_Monocyte","immature_negative","ANAPC4"
"GSE5099_Monocyte","immature_negative","ANKHD1"
"GSE5099_Monocyte","immature_negative","ANKRD10"
"GSE5099_Monocyte","immature_negative","ANKRD24"
"GSE5099_Monocyte","immature_negative","AP3S1"
"GSE5099_Monocyte","immature_negative","APPL1"
"GSE5099_Monocyte","immature_negative","ARFGEF1"
"GSE5099_Monocyte","immature_negative","ARGLU1"
"GSE5099_Monocyte","immature_negative","ARHGAP30"
"GSE5099_Monocyte","immature_negative","ATP11B"
"GSE5099_Monocyte","immature_negative","ATP5MK"
"GSE5099_Monocyte","immature_negative","BAG1"
"GSE5099_Monocyte","immature_negative","BANF1"
"GSE5099_Monocyte","immature_negative","BTBD1"
"GSE5099_Monocyte","immature_negative","CCNL2"
"GSE5099_Monocyte","immature_negative","CCT5"
"GSE5099_Monocyte","immature_negative","CD28"
"GSE5099_Monocyte","immature_negative","CDC37L1"
"GSE5099_Monocyte","immature_negative","CDC5L"
"GSE5099_Monocyte","immature_negative","CDK1"
"GSE5099_Monocyte","immature_negative","CEP41"
"GSE5099_Monocyte","immature_negative","CHD9"
"GSE5099_Monocyte","immature_negative","CHURC1"
"GSE5099_Monocyte","immature_negative","CLEC4M"
"GSE5099_Monocyte","immature_negative","CMPK1"
"GSE5099_Monocyte","immature_negative","CNBP"
"GSE5099_Monocyte","immature_negative","COMMD6"
"GSE5099_Monocyte","immature_negative","COX4I1"
"GSE5099_Monocyte","immature_negative","CPSF3"
"GSE5099_Monocyte","immature_negative","CREBZF"
"GSE5099_Monocyte","immature_negative","CTBS"
"GSE5099_Monocyte","immature_negative","CXXC5"
"GSE5099_Monocyte","immature_negative","DAPP1"
"GSE5099_Monocyte","immature_negative","DAZAP2"
"GSE5099_Monocyte","immature_negative","DNAJC15"
"GSE5099_Monocyte","immature_negative","DPP4"
"GSE5099_Monocyte","immature_negative","DPY19L4"
"GSE5099_Monocyte","immature_negative","DUS1L"
"GSE5099_Monocyte","immature_negative","ECI2"
"GSE5099_Monocyte","immature_negative","EFCAB14"
"GSE5099_Monocyte","immature_negative","EIF1B"
"GSE5099_Monocyte","immature_negative","EIF3A"
"GSE5099_Monocyte","immature_negative","EIF3E"
"GSE5099_Monocyte","immature_negative","EIF3L"
"GSE5099_Monocyte","immature_negative","EMC3"
"GSE5099_Monocyte","immature_negative","ERI2"
"GSE5099_Monocyte","immature_negative","ERO1B"
"GSE5099_Monocyte","immature_negative","ESF1"
"GSE5099_Monocyte","immature_negative","ETNK1"
"GSE5099_Monocyte","immature_negative","EXOSC1"
"GSE5099_Monocyte","immature_negative","FAM162A"
"GSE5099_Monocyte","immature_negative","FAM98A"
"GSE5099_Monocyte","immature_negative","FEM1C"
"GSE5099_Monocyte","immature_negative","FMNL2"
"GSE5099_Monocyte","immature_negative","FNTA"
"GSE5099_Monocyte","immature_negative","GABPA"
"GSE5099_Monocyte","immature_negative","GABPB2"
"GSE5099_Monocyte","immature_negative","GCLM"
"GSE5099_Monocyte","immature_negative","GINS1"
"GSE5099_Monocyte","immature_negative","GNG2"
"GSE5099_Monocyte","immature_negative","GPM6B"
"GSE5099_Monocyte","immature_negative","H2AZ1"
"GSE5099_Monocyte","immature_negative","HERC2"
"GSE5099_Monocyte","immature_negative","HNRNPA1"
"GSE5099_Monocyte","immature_negative","HPRT1"
"GSE5099_Monocyte","immature_negative","HSPA13"
"GSE5099_Monocyte","immature_negative","HSPA4L"
"GSE5099_Monocyte","immature_negative","IDS"
"GSE5099_Monocyte","immature_negative","IFTAP"
"GSE5099_Monocyte","immature_negative","IL10RB"
"GSE5099_Monocyte","immature_negative","JADE1"
"GSE5099_Monocyte","immature_negative","KATNBL1"
"GSE5099_Monocyte","immature_negative","KCTD12"
"GSE5099_Monocyte","immature_negative","KPNA3"
"GSE5099_Monocyte","immature_negative","LARGE1"
"GSE5099_Monocyte","immature_negative","LRIF1"
"GSE5099_Monocyte","immature_negative","LRRC40"
"GSE5099_Monocyte","immature_negative","MAPK9"
"GSE5099_Monocyte","immature_negative","MED10"
"GSE5099_Monocyte","immature_negative","MEMO1"
"GSE5099_Monocyte","immature_negative","METAP2"
"GSE5099_Monocyte","immature_negative","METTL15"
"GSE5099_Monocyte","immature_negative","MFSD14A"
"GSE5099_Monocyte","immature_negative","MGA"
"GSE5099_Monocyte","immature_negative","MID1"
"GSE5099_Monocyte","immature_negative","MMUT"
"GSE5099_Monocyte","immature_negative","MRPL39"
"GSE5099_Monocyte","immature_negative","MTHFD1"
"GSE5099_Monocyte","immature_negative","NABP1"
"GSE5099_Monocyte","immature_negative","NASP"
"GSE5099_Monocyte","immature_negative","NBN"
"GSE5099_Monocyte","immature_negative","NCOA6"
"GSE5099_Monocyte","immature_negative","NDUFAF4"
"GSE5099_Monocyte","immature_negative","NDUFB9"
"GSE5099_Monocyte","immature_negative","NEK7"
"GSE5099_Monocyte","immature_negative","NIFK"
"GSE5099_Monocyte","immature_negative","NLRC5"
"GSE5099_Monocyte","immature_negative","NOC3L"
"GSE5099_Monocyte","immature_negative","NOL7"
"GSE5099_Monocyte","immature_negative","NSD3"
"GSE5099_Monocyte","immature_negative","NSFL1C"
"GSE5099_Monocyte","immature_negative","NSMCE4A"
"GSE5099_Monocyte","immature_negative","NUDT12"
"GSE5099_Monocyte","immature_negative","NUP37"
"GSE5099_Monocyte","immature_negative","OLA1"
"GSE5099_Monocyte","immature_negative","OSBPL9"
"GSE5099_Monocyte","immature_negative","OSER1"
"GSE5099_Monocyte","immature_negative","PBK"
"GSE5099_Monocyte","immature_negative","PCLAF"
"GSE5099_Monocyte","immature_negative","PCMT1"
"GSE5099_Monocyte","immature_negative","PCMTD1"
"GSE5099_Monocyte","immature_negative","PHF10"
"GSE5099_Monocyte","immature_negative","PHOSPHO2"
"GSE5099_Monocyte","immature_negative","PIGF"
"GSE5099_Monocyte","immature_negative","PIGP"
"GSE5099_Monocyte","immature_negative","PIGX"
"GSE5099_Monocyte","immature_negative","PLPP5"
"GSE5099_Monocyte","immature_negative","PNN"
"GSE5099_Monocyte","immature_negative","PNP"
"GSE5099_Monocyte","immature_negative","POGLUT3"
"GSE5099_Monocyte","immature_negative","POLR1F"
"GSE5099_Monocyte","immature_negative","POMP"
"GSE5099_Monocyte","immature_negative","PPM1H"
"GSE5099_Monocyte","immature_negative","PPP1CC"
"GSE5099_Monocyte","immature_negative","PPP2R5C"
"GSE5099_Monocyte","immature_negative","PSMC2"
"GSE5099_Monocyte","immature_negative","PSMD10"
"GSE5099_Monocyte","immature_negative","PXYLP1"
"GSE5099_Monocyte","immature_negative","RAB9A"
"GSE5099_Monocyte","immature_negative","RBM34"
"GSE5099_Monocyte","immature_negative","RDX"
"GSE5099_Monocyte","immature_negative","RELCH"
"GSE5099_Monocyte","immature_negative","RHD"
"GSE5099_Monocyte","immature_negative","RLF"
"GSE5099_Monocyte","immature_negative","RMDN3"
"GSE5099_Monocyte","immature_negative","RNASE6"
"GSE5099_Monocyte","immature_negative","RNMT"
"GSE5099_Monocyte","immature_negative","RPL17"
"GSE5099_Monocyte","immature_negative","RPL23A"
"GSE5099_Monocyte","immature_negative","RPL24"
"GSE5099_Monocyte","immature_negative","RPL26"
"GSE5099_Monocyte","immature_negative","RPL39L"
"GSE5099_Monocyte","immature_negative","RRM2B"
"GSE5099_Monocyte","immature_negative","RSRC1"
"GSE5099_Monocyte","immature_negative","SACM1L"
"GSE5099_Monocyte","immature_negative","SEC63"
"GSE5099_Monocyte","immature_negative","SENP7"
"GSE5099_Monocyte","immature_negative","SESN3"
"GSE5099_Monocyte","immature_negative","SFXN4"
"GSE5099_Monocyte","immature_negative","SH3GLB1"
"GSE5099_Monocyte","immature_negative","SHMT1"
"GSE5099_Monocyte","immature_negative","SLC7A9"
"GSE5099_Monocyte","immature_negative","SNX2"
"GSE5099_Monocyte","immature_negative","SNX5"
"GSE5099_Monocyte","immature_negative","SQLE"
"GSE5099_Monocyte","immature_negative","SRSF10"
"GSE5099_Monocyte","immature_negative","SS18L2"
"GSE5099_Monocyte","immature_negative","STRADB"
"GSE5099_Monocyte","immature_negative","STRBP"
"GSE5099_Monocyte","immature_negative","SUCO"
"GSE5099_Monocyte","immature_negative","SURF1"
"GSE5099_Monocyte","immature_negative","TBRG1"
"GSE5099_Monocyte","immature_negative","TEX30"
"GSE5099_Monocyte","immature_negative","TGM4"
"GSE5099_Monocyte","immature_negative","TLR7"
"GSE5099_Monocyte","immature_negative","TMEM107"
"GSE5099_Monocyte","immature_negative","TMEM167A"
"GSE5099_Monocyte","immature_negative","TMEM168"
"GSE5099_Monocyte","immature_negative","TMEM64"
"GSE5099_Monocyte","immature_negative","TPP2"
"GSE5099_Monocyte","immature_negative","TRAM1"
"GSE5099_Monocyte","immature_negative","TRMT2B"
"GSE5099_Monocyte","immature_negative","TSC22D2"
"GSE5099_Monocyte","immature_negative","TSN"
"GSE5099_Monocyte","immature_negative","UBE2D3"
"GSE5099_Monocyte","immature_negative","UBE2L3"
"GSE5099_Monocyte","immature_negative","UBR3"
"GSE5099_Monocyte","immature_negative","USP34"
"GSE5099_Monocyte","immature_negative","UTRN"
"GSE5099_Monocyte","immature_negative","VAMP7"
"GSE5099_Monocyte","immature_negative","VPS35"
"GSE5099_Monocyte","immature_negative","VPS41"
"GSE5099_Monocyte","immature_negative","VPS54"
"GSE5099_Monocyte","immature_negative","WAC"
"GSE5099_Monocyte","immature_negative","WASHC4"
"GSE5099_Monocyte","immature_negative","YIPF5"
"GSE5099_Monocyte","immature_negative","ZBTB1"
"GSE5099_Monocyte","immature_negative","ZBTB33"
"GSE5099_Monocyte","immature_negative","ZHX1"
"GSE5099_Monocyte","immature_negative","ZNF157"
"GSE5099_Monocyte","immature_negative","ZNF281"
"GSE5099_Monocyte","immature_negative","ZNF318"
"GSE5099_Monocyte","immature_negative","ZNF445"
"GSE11864_Macrophage","mature_positive","ABCC5"
"GSE11864_Macrophage","mature_positive","ACOT4"
"GSE11864_Macrophage","mature_positive","ADAM10"
"GSE11864_Macrophage","mature_positive","ADORA3"
"GSE11864_Macrophage","mature_positive","AIFM1"
"GSE11864_Macrophage","mature_positive","ANKRD29"
"GSE11864_Macrophage","mature_positive","APOC2"
"GSE11864_Macrophage","mature_positive","ARAP1"
"GSE11864_Macrophage","mature_positive","ARL15"
"GSE11864_Macrophage","mature_positive","ATP10D"
"GSE11864_Macrophage","mature_positive","B3GALT5-AS1"
"GSE11864_Macrophage","mature_positive","BCAR3"
"GSE11864_Macrophage","mature_positive","BEST1"
"GSE11864_Macrophage","mature_positive","BMS1P2"
"GSE11864_Macrophage","mature_positive","BORA"
"GSE11864_Macrophage","mature_positive","BTD"
"GSE11864_Macrophage","mature_positive","C1orf122"
"GSE11864_Macrophage","mature_positive","C9orf40"
"GSE11864_Macrophage","mature_positive","CAB39L"
"GSE11864_Macrophage","mature_positive","CALHM2"
"GSE11864_Macrophage","mature_positive","CANX"
"GSE11864_Macrophage","mature_positive","CASC3"
"GSE11864_Macrophage","mature_positive","CCL24"
"GSE11864_Macrophage","mature_positive","CCM2"
"GSE11864_Macrophage","mature_positive","CD72"
"GSE11864_Macrophage","mature_positive","CDCA7L"
"GSE11864_Macrophage","mature_positive","CHMP4A"
"GSE11864_Macrophage","mature_positive","CKAP5"
"GSE11864_Macrophage","mature_positive","CLCN5"
"GSE11864_Macrophage","mature_positive","CNRIP1"
"GSE11864_Macrophage","mature_positive","COCH"
"GSE11864_Macrophage","mature_positive","CPTP"
"GSE11864_Macrophage","mature_positive","CRYZ"
"GSE11864_Macrophage","mature_positive","CXCL3"
"GSE11864_Macrophage","mature_positive","CYP2B6"
"GSE11864_Macrophage","mature_positive","DAXX"
"GSE11864_Macrophage","mature_positive","DDX23"
"GSE11864_Macrophage","mature_positive","DHRSX"
"GSE11864_Macrophage","mature_positive","DIRC3"
"GSE11864_Macrophage","mature_positive","DLEU2"
"GSE11864_Macrophage","mature_positive","DNAL1"
"GSE11864_Macrophage","mature_positive","DNPH1"
"GSE11864_Macrophage","mature_positive","DPM3"
"GSE11864_Macrophage","mature_positive","DPY19L4"
"GSE11864_Macrophage","mature_positive","EBAG9"
"GSE11864_Macrophage","mature_positive","EIF2B5"
"GSE11864_Macrophage","mature_positive","ELP3"
"GSE11864_Macrophage","mature_positive","EMC2"
"GSE11864_Macrophage","mature_positive","EPC2"
"GSE11864_Macrophage","mature_positive","ETFBKMT"
"GSE11864_Macrophage","mature_positive","FJX1"
"GSE11864_Macrophage","mature_positive","FNTB"
"GSE11864_Macrophage","mature_positive","GABRG3"
"GSE11864_Macrophage","mature_positive","GEM"
"GSE11864_Macrophage","mature_positive","GIGYF2"
"GSE11864_Macrophage","mature_positive","GLA"
"GSE11864_Macrophage","mature_positive","GLB1"
"GSE11864_Macrophage","mature_positive","GMPPB"
"GSE11864_Macrophage","mature_positive","GOSR1"
"GSE11864_Macrophage","mature_positive","GPR157"
"GSE11864_Macrophage","mature_positive","GTF2IRD1"
"GSE11864_Macrophage","mature_positive","HAVCR2"
"GSE11864_Macrophage","mature_positive","HBP1"
"GSE11864_Macrophage","mature_positive","HCCS"
"GSE11864_Macrophage","mature_positive","HEBP1"
"GSE11864_Macrophage","mature_positive","HECTD3"
"GSE11864_Macrophage","mature_positive","HFE"
"GSE11864_Macrophage","mature_positive","HIRIP3"
"GSE11864_Macrophage","mature_positive","HS3ST1"
"GSE11864_Macrophage","mature_positive","HSDL1"
"GSE11864_Macrophage","mature_positive","HSPBAP1"
"GSE11864_Macrophage","mature_positive","HTRA2"
"GSE11864_Macrophage","mature_positive","ID3"
"GSE11864_Macrophage","mature_positive","IFT122"
"GSE11864_Macrophage","mature_positive","IL1RL2"
"GSE11864_Macrophage","mature_positive","IMMP1L"
"GSE11864_Macrophage","mature_positive","INTS13"
"GSE11864_Macrophage","mature_positive","IPO9"
"GSE11864_Macrophage","mature_positive","JADE3"
"GSE11864_Macrophage","mature_positive","JPT2"
"GSE11864_Macrophage","mature_positive","KCTD5"
"GSE11864_Macrophage","mature_positive","KCTD7"
"GSE11864_Macrophage","mature_positive","KDM2B"
"GSE11864_Macrophage","mature_positive","KDM5D"
"GSE11864_Macrophage","mature_positive","KLHL9"
"GSE11864_Macrophage","mature_positive","LFNG"
"GSE11864_Macrophage","mature_positive","LIG1"
"GSE11864_Macrophage","mature_positive","LIN9"
"GSE11864_Macrophage","mature_positive","LINC00324"
"GSE11864_Macrophage","mature_positive","LINC00639"
"GSE11864_Macrophage","mature_positive","LINC00921"
"GSE11864_Macrophage","mature_positive","LNX2"
"GSE11864_Macrophage","mature_positive","LXN"
"GSE11864_Macrophage","mature_positive","MBLAC2"
